2026-05-05 13:09:14 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:14 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:14 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-2] RabbitMQ connected successfully
2026-05-05 13:09:14 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-3] RabbitMQ connected successfully
2026-05-05 13:09:14 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:14 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:14 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:14 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:14 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-1] RabbitMQ connected successfully
2026-05-05 13:09:14 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:14 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:19 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-0] RabbitMQ connected successfully
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:19 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-3] RabbitMQ connected successfully
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:19 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-2] RabbitMQ connected successfully
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:19 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-1] RabbitMQ connected successfully
2026-05-05 13:09:19 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:19 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
2026-05-05 13:09:24 | RabbitmqServices.py._ensure_connection        | [INFO ] | [RabbitMQConsumerThreadAI-Crowd_Density-0] RabbitMQ connected successfully
2026-05-05 13:09:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | RabbitMQ connection ready on rabbitmq:5672 using exchange 'LAWA_exchange'
2026-05-05 13:09:24 | RabbitmqConsumer.py.start_consumer_process    | [INFO ] | [Consumer Thread] Consumer Process stopped unexpectedly. Restarting in 5 seconds...
2026-05-05 13:09:24 | RabbitmqServices.py.initialize_rabbitmq_connection | [INFO ] | Initializing RabbitMQ connection...
